sample_id	n_files	files
V300043762_L4_DKWGS200331100-572	1	V300043762_L4_DKWGS200331100-572_1_kneaddata.fastq
V300043643_L3_DKWGS200331021-530	1	V300043643_L3_DKWGS200331021-530_1_kneaddata.fastq
V300043643_L4_DKWGS200331038-563	1	V300043643_L4_DKWGS200331038-563_1_kneaddata.fastq
V300043762_L4_DKWGS200331105-588	1	V300043762_L4_DKWGS200331105-588_1_kneaddata.fastq
V300043643_L4_DKWGS200331040-565	1	V300043643_L4_DKWGS200331040-565_1_kneaddata.fastq
V300043702_L1_DKWGS200331051-588	1	V300043702_L1_DKWGS200331051-588_1_kneaddata.fastq
V300043702_L1_DKWGS200331043-569	1	V300043702_L1_DKWGS200331043-569_1_kneaddata.fastq
V300043643_L4_DKWGS200331035-560	1	V300043643_L4_DKWGS200331035-560_1_kneaddata.fastq
V300043643_L1_DKWGS200331004-513	1	V300043643_L1_DKWGS200331004-513_1_kneaddata.fastq
V300043702_L2_DKWGS200331057-511	1	V300043702_L2_DKWGS200331057-511_1_kneaddata.fastq
V300043643_L2_DKWGS200331016-525	1	V300043643_L2_DKWGS200331016-525_1_kneaddata.fastq
V300043702_L1_DKWGS200331044-570	1	V300043702_L1_DKWGS200331044-570_1_kneaddata.fastq
V300043643_L2_DKWGS200331012-521	1	V300043643_L2_DKWGS200331012-521_1_kneaddata.fastq
V300043762_L4_DKWGS200331101-581	1	V300043762_L4_DKWGS200331101-581_1_kneaddata.fastq
V300043762_L4_DKWGS200331102-582	1	V300043762_L4_DKWGS200331102-582_1_kneaddata.fastq
V300043702_L2_DKWGS200331060-514	1	V300043702_L2_DKWGS200331060-514_1_kneaddata.fastq
V300043702_L2_DKWGS200331055-509	1	V300043702_L2_DKWGS200331055-509_1_kneaddata.fastq
V300043702_L4_DKWGS200331081-551	1	V300043702_L4_DKWGS200331081-551_1_kneaddata.fastq
V300043643_L2_DKWGS200331017-526	1	V300043643_L2_DKWGS200331017-526_1_kneaddata.fastq
V300043702_L1_DKWGS200331053-590	1	V300043702_L1_DKWGS200331053-590_1_kneaddata.fastq
V300043702_L3_DKWGS200331070-524	1	V300043702_L3_DKWGS200331070-524_1_kneaddata.fastq
V300043762_L4_DKWGS200331103-583	1	V300043762_L4_DKWGS200331103-583_1_kneaddata.fastq
V300043643_L1_DKWGS200331006-515	1	V300043643_L1_DKWGS200331006-515_1_kneaddata.fastq
V300043702_L2_DKWGS200331058-512	1	V300043702_L2_DKWGS200331058-512_1_kneaddata.fastq
V300043643_L3_DKWGS200331027-552	1	V300043643_L3_DKWGS200331027-552_1_kneaddata.fastq
V300043702_L3_DKWGS200331073-527	1	V300043702_L3_DKWGS200331073-527_1_kneaddata.fastq
V300043643_L3_DKWGS200331028-553	1	V300043643_L3_DKWGS200331028-553_1_kneaddata.fastq
V300043643_L1_DKWGS200331003-512	1	V300043643_L1_DKWGS200331003-512_1_kneaddata.fastq
V300043702_L1_DKWGS200331045-571	1	V300043702_L1_DKWGS200331045-571_1_kneaddata.fastq
V300043643_L3_DKWGS200331025-550	1	V300043643_L3_DKWGS200331025-550_1_kneaddata.fastq
V300043702_L1_DKWGS200331052-589	1	V300043702_L1_DKWGS200331052-589_1_kneaddata.fastq
V300043643_L1_DKWGS200331009-518	1	V300043643_L1_DKWGS200331009-518_1_kneaddata.fastq
V300043643_L4_DKWGS200331034-559	1	V300043643_L4_DKWGS200331034-559_1_kneaddata.fastq
V300043643_L4_DKWGS200331042-567	1	V300043643_L4_DKWGS200331042-567_1_kneaddata.fastq
V300043643_L2_DKWGS200331010-519	1	V300043643_L2_DKWGS200331010-519_1_kneaddata.fastq
V300043702_L3_DKWGS200331068-522	1	V300043702_L3_DKWGS200331068-522_1_kneaddata.fastq
V300043643_L3_DKWGS200331031-556	1	V300043643_L3_DKWGS200331031-556_1_kneaddata.fastq
V300043702_L2_DKWGS200331064-518	1	V300043702_L2_DKWGS200331064-518_1_kneaddata.fastq
V300043702_L1_DKWGS200331049-583	1	V300043702_L1_DKWGS200331049-583_1_kneaddata.fastq
V300043702_L4_DKWGS200331077-531	1	V300043702_L4_DKWGS200331077-531_1_kneaddata.fastq
V300043702_L4_DKWGS200331079-504	1	V300043702_L4_DKWGS200331079-504_1_kneaddata.fastq
V300043702_L4_DKWGS200331083-553	1	V300043702_L4_DKWGS200331083-553_1_kneaddata.fastq
V300043702_L1_DKWGS200331046-572	1	V300043702_L1_DKWGS200331046-572_1_kneaddata.fastq
V300043643_L3_DKWGS200331023-532	1	V300043643_L3_DKWGS200331023-532_1_kneaddata.fastq
V300043702_L3_DKWGS200331067-521	1	V300043702_L3_DKWGS200331067-521_1_kneaddata.fastq
V300043702_L2_DKWGS200331062-516	1	V300043702_L2_DKWGS200331062-516_1_kneaddata.fastq
V300043702_L2_DKWGS200331054-591	1	V300043702_L2_DKWGS200331054-591_1_kneaddata.fastq
V300043643_L2_DKWGS200331013-522	1	V300043643_L2_DKWGS200331013-522_1_kneaddata.fastq
V300043702_L1_DKWGS200331050-587	1	V300043702_L1_DKWGS200331050-587_1_kneaddata.fastq
V300043643_L2_DKWGS200331018-527	1	V300043643_L2_DKWGS200331018-527_1_kneaddata.fastq
V300043702_L3_DKWGS200331066-520	1	V300043702_L3_DKWGS200331066-520_1_kneaddata.fastq
V300043643_L3_DKWGS200331026-551	1	V300043643_L3_DKWGS200331026-551_1_kneaddata.fastq
V300043762_L4_DKWGS200331104-587	1	V300043762_L4_DKWGS200331104-587_1_kneaddata.fastq
V300043702_L4_DKWGS200331080-550	1	V300043702_L4_DKWGS200331080-550_1_kneaddata.fastq
V300043702_L2_DKWGS200331063-517	1	V300043702_L2_DKWGS200331063-517_1_kneaddata.fastq
V300043643_L1_DKWGS200331001-510	1	V300043643_L1_DKWGS200331001-510_1_kneaddata.fastq
V300043643_L4_DKWGS200331039-564	1	V300043643_L4_DKWGS200331039-564_1_kneaddata.fastq
V300043643_L2_DKWGS200331019-528	1	V300043643_L2_DKWGS200331019-528_1_kneaddata.fastq
V300043702_L4_DKWGS200331078-532	1	V300043702_L4_DKWGS200331078-532_1_kneaddata.fastq
V300043702_L4_DKWGS200331084-554	1	V300043702_L4_DKWGS200331084-554_1_kneaddata.fastq
V300043643_L4_DKWGS200331032-557	1	V300043643_L4_DKWGS200331032-557_1_kneaddata.fastq
V300043702_L3_DKWGS200331075-529	1	V300043702_L3_DKWGS200331075-529_1_kneaddata.fastq
V300043643_L2_DKWGS200331015-524	1	V300043643_L2_DKWGS200331015-524_1_kneaddata.fastq
V300043643_L3_DKWGS200331024-501	1	V300043643_L3_DKWGS200331024-501_1_kneaddata.fastq
V300043702_L3_DKWGS200331071-525	1	V300043702_L3_DKWGS200331071-525_1_kneaddata.fastq
V300043702_L4_DKWGS200331082-552	1	V300043702_L4_DKWGS200331082-552_1_kneaddata.fastq
V300043643_L3_DKWGS200331029-554	1	V300043643_L3_DKWGS200331029-554_1_kneaddata.fastq
V300043702_L3_DKWGS200331072-526	1	V300043702_L3_DKWGS200331072-526_1_kneaddata.fastq
V300043702_L2_DKWGS200331061-515	1	V300043702_L2_DKWGS200331061-515_1_kneaddata.fastq
V300043643_L2_DKWGS200331014-523	1	V300043643_L2_DKWGS200331014-523_1_kneaddata.fastq
V300043643_L4_DKWGS200331036-561	1	V300043643_L4_DKWGS200331036-561_1_kneaddata.fastq
V300043643_L1_DKWGS200331005-514	1	V300043643_L1_DKWGS200331005-514_1_kneaddata.fastq
V300043643_L1_DKWGS200331007-516	1	V300043643_L1_DKWGS200331007-516_1_kneaddata.fastq
V300043643_L3_DKWGS200331022-531	1	V300043643_L3_DKWGS200331022-531_1_kneaddata.fastq
V300043702_L3_DKWGS200331074-528	1	V300043702_L3_DKWGS200331074-528_1_kneaddata.fastq
V300043702_L4_DKWGS200331076-530	1	V300043702_L4_DKWGS200331076-530_1_kneaddata.fastq
V300043643_L2_DKWGS200331020-529	1	V300043643_L2_DKWGS200331020-529_1_kneaddata.fastq
V300043702_L2_DKWGS200331056-510	1	V300043702_L2_DKWGS200331056-510_1_kneaddata.fastq
V300043643_L4_DKWGS200331033-502	1	V300043643_L4_DKWGS200331033-502_1_kneaddata.fastq
V300043643_L4_DKWGS200331041-566	1	V300043643_L4_DKWGS200331041-566_1_kneaddata.fastq
V300043643_L4_DKWGS200331037-562	1	V300043643_L4_DKWGS200331037-562_1_kneaddata.fastq
V300043702_L3_DKWGS200331069-523	1	V300043702_L3_DKWGS200331069-523_1_kneaddata.fastq
V300043643_L1_DKWGS200331002-511	1	V300043643_L1_DKWGS200331002-511_1_kneaddata.fastq
V300043702_L1_DKWGS200331047-581	1	V300043702_L1_DKWGS200331047-581_1_kneaddata.fastq
V300043643_L3_DKWGS200331030-555	1	V300043643_L3_DKWGS200331030-555_1_kneaddata.fastq
V300043643_L1_DKWGS200331008-517	1	V300043643_L1_DKWGS200331008-517_1_kneaddata.fastq
V300043702_L1_DKWGS200331048-582	1	V300043702_L1_DKWGS200331048-582_1_kneaddata.fastq
